sample	O	O	O
type	O	O	O
/	O	O	O
medical	O	O	O
specialty	O	O	O
:	O	O	O
general	O	O	O
medicine	O	O	O
sample	O	O	O
name	O	O	O
:	O	O	O
headache	O	B-problem	O
-	O	O	O
office	O	O	O
visit	O	O	O
description	O	O	O
:	O	O	O
the	O	O	O
patient	O	O	O
with	O	O	O
continued	O	O	O
problems	O	O	O
with	O	O	O
her	O	B-problem	O
headaches	O	O	O
.	O	O	O


(	O	O	O
medical	O	O	O
transcription	O	O	O
sample	O	O	O
report	O	O	O
)	O	O	O
the	O	O	O
patient	O	O	O
returns	O	O	O
to	O	O	O
our	O	O	O
office	O	O	O
today	O	O	B-temporal
because	O	O	O
of	O	O	O
continued	O	O	O
problems	O	O	O
with	O	O	O
her	O	B-problem	O
headaches	B-cc	O	O
.	O	O	O


she	O	O	O
was	O	O	O
started	O	O	O
on	O	O	O
zonegran	B-hpi.modifyingFactors	B-drug	O
on	O	O	O
her	O	O	O
last	O	O	O
visit	O	O	O
and	O	O	O
she	O	O	O
states	O	O	O
that	O	O	O
initially	O	O	O
she	O	O	O
titrated	O	O	O
upto	O	O	O
100	O	O	O
mg	O	O	O
q	O	O	B-temporal
.	O	O	I-temporal
h	O	O	I-temporal
.	O	O	I-temporal
s	O	O	I-temporal
.	O	O	O
initially	O	O	O
felt	O	O	O
that	O	O	O
the	O	O	O
zonegran	O	B-drug	O
helped	O	O	O
,	O	O	O
but	O	O	O
then	O	O	O
the	O	O	O
pain	O	B-problem	O
in	O	I-problem	O
her	O	I-problem	O
head	O	I-problem	B-bodyloc
returned	O	O	O
.	O	O	O


it	O	O	O
is	O	O	O
an	O	O	O
area	O	O	O
of	O	O	O
tenderness	B-hpi.quality	B-problem	O
and	O	O	O
sensitivity	B-hpi.quality	O	O
in	O	O	O
her	O	O	O
left	B-hpi.location	B-problem	B-bodyloc
parietal	I-hpi.location	I-problem	I-bodyloc
area	I-hpi.location	I-problem	O
.	O	O	O


it	O	O	O
is	O	O	O
a	O	O	O
very	O	B-problem	O
localized	B-hpi.quality	I-problem	O
pain	I-hpi.quality	I-problem	O
.	O	O	O


she	O	O	O
takes	O	O	O
motrin	B-hpi.modifyingFactors	B-drug	O
